price,rooms,halls,area,orientation,decoration,floor_level,total_floor,building_type,community,subdistrict
530000.0,2.0,1.0,61.07,"东南,",简装,高,6.0,,湖北第二师范学院职工住宅小区,白沙洲 
4000000.0,3.0,2.0,140.47,"南,北,",毛坯,中,9.0,板楼,城投瀚城,卓刀泉 
1330000.0,2.0,2.0,66.4,"南,北,",精装,低,25.0,板楼,大华南湖公园世家三期,新南湖 
1399000.0,2.0,2.0,86.28,"南,",精装,中,33.0,塔楼,清能清江锦城一期,白沙洲 
1950000.0,3.0,2.0,98.51,"南,北,",简装,中,7.0,板楼,荣校教师小区,虎泉杨家湾 
2530000.0,3.0,2.0,128.53,"南,",精装,高,18.0,塔楼,南湖景苑,街道口 
840000.0,1.0,1.0,50.52,"南,",精装,中,51.0,板楼,融侨悦府,青山 
1600000.0,3.0,2.0,90.52,"南,",简装,中,34.0,板楼,保利公园九里,老南湖 
1860000.0,2.0,2.0,89.33,"南,",精装,低,16.0,板楼,大华南湖公园世家二期,新南湖 
1990000.0,3.0,2.0,94.88,"南,北,",精装,中,34.0,塔楼,保利中央公馆,新南湖 
1130000.0,2.0,1.0,78.24,"西南,",简装,高,24.0,板楼,万科金色城市17地块,白沙洲 
1120000.0,2.0,2.0,79.45,"南,",简装,中,18.0,板楼,丽华苑,团结大道 
1450000.0,2.0,1.0,83.5,"南,",简装,高,33.0,,保利心语九期,珞狮南路 
1700000.0,3.0,1.0,117.54,"南,",精装,低,34.0,板楼,世茂林屿岸,文化大道 
1160000.0,2.0,2.0,104.47,"南,",简装,中,7.0,板楼,柴林花园,青山 
1420000.0,2.0,2.0,79.09,"南,北,",精装,低,34.0,板楼,清能清江锦城三期,白沙洲 
1880000.0,2.0,2.0,83.17,"南,",精装,低,18.0,塔楼,中建南湖壹号,珞狮南路 
1150000.0,3.0,1.0,88.13,"南,",精装,低,18.0,,东方雅园,青山 
1640000.0,3.0,2.0,92.25,"南,",毛坯,中,34.0,板楼,清能清江锦城三期,白沙洲 
